timestamp,open,high,low,close,volume,oi
2025-10-20T15:25:00+05:30,151.8,152.08,151.25,151.8,47764,0
2025-10-20T15:20:00+05:30,151.78,152.24,151.5,151.98,38867,0
2025-10-20T15:15:00+05:30,151.84,151.92,151.5,151.6,60825,0
2025-10-20T15:10:00+05:30,151.98,152.0,151.77,151.9,9651,0
2025-10-20T15:05:00+05:30,152.15,152.19,151.86,151.9,22699,0
2025-10-20T15:00:00+05:30,152.24,152.24,152.0,152.15,16253,0
2025-10-20T14:55:00+05:30,152.25,152.25,152.2,152.24,15505,0
2025-10-20T14:50:00+05:30,152.29,152.49,152.17,152.25,9026,0
2025-10-20T14:45:00+05:30,152.29,152.29,152.15,152.29,17957,0
2025-10-20T14:40:00+05:30,152.27,152.29,152.1,152.29,6429,0
2025-10-20T14:35:00+05:30,152.1,152.83,151.91,152.3,35756,0
2025-10-20T14:30:00+05:30,152.56,152.57,152.0,152.1,34332,0
2025-10-20T14:25:00+05:30,152.6,152.66,152.38,152.56,10202,0
2025-10-20T14:20:00+05:30,152.57,152.61,152.4,152.42,8362,0
2025-10-20T14:15:00+05:30,152.64,152.82,152.45,152.59,8462,0
2025-10-20T14:10:00+05:30,152.65,152.77,152.5,152.64,6318,0
2025-10-20T14:05:00+05:30,152.9,152.9,152.51,152.69,17229,0
2025-10-20T14:00:00+05:30,152.65,152.9,152.53,152.9,7685,0
2025-10-20T13:55:00+05:30,152.58,152.65,152.49,152.65,23803,0
2025-10-20T13:50:00+05:30,152.57,152.67,152.33,152.57,9845,0
2025-10-20T13:45:00+05:30,152.56,152.81,152.45,152.7,19354,0
2025-10-20T13:40:00+05:30,152.21,152.56,152.11,152.56,11863,0
2025-10-20T13:35:00+05:30,151.9,152.21,151.85,152.2,8387,0
2025-10-20T13:30:00+05:30,151.77,152.0,151.52,151.9,12349,0
2025-10-20T13:25:00+05:30,152.0,152.0,151.68,151.75,6799,0
2025-10-20T13:20:00+05:30,151.77,152.0,151.66,152.0,17292,0
2025-10-20T13:15:00+05:30,151.65,151.84,151.6,151.79,15392,0
2025-10-20T13:10:00+05:30,151.68,151.68,151.02,151.65,66310,0
2025-10-20T13:05:00+05:30,152.04,152.04,151.6,151.68,7949,0
2025-10-20T13:00:00+05:30,152.15,152.19,152.0,152.04,10530,0
2025-10-20T12:55:00+05:30,152.14,152.21,151.97,152.13,6129,0
2025-10-20T12:50:00+05:30,152.08,152.24,151.68,152.0,19694,0
2025-10-20T12:45:00+05:30,152.68,152.68,152.04,152.09,17688,0
2025-10-20T12:40:00+05:30,151.71,152.67,151.69,152.67,53778,0
2025-10-20T12:35:00+05:30,151.26,151.74,151.26,151.71,26433,0
2025-10-20T12:30:00+05:30,151.12,151.3,150.99,151.24,20359,0
2025-10-20T12:25:00+05:30,150.87,151.14,150.78,151.14,17892,0
2025-10-20T12:20:00+05:30,150.74,151.0,150.65,150.92,24388,0
2025-10-20T12:15:00+05:30,150.94,150.97,150.64,150.74,13744,0
2025-10-20T12:10:00+05:30,151.14,151.43,150.5,150.97,56978,0
2025-10-20T12:05:00+05:30,150.93,151.41,150.54,151.14,23659,0
2025-10-20T12:00:00+05:30,150.62,150.95,150.26,150.94,9401,0
2025-10-20T11:55:00+05:30,150.69,150.9,150.39,150.59,12732,0
2025-10-20T11:50:00+05:30,150.49,150.71,150.24,150.69,26556,0
2025-10-20T11:45:00+05:30,150.47,150.58,150.0,150.49,44832,0
2025-10-20T11:40:00+05:30,150.09,151.0,150.0,150.47,44702,0
2025-10-20T11:35:00+05:30,150.38,150.38,149.65,150.1,123094,0
2025-10-20T11:30:00+05:30,151.03,151.1,150.2,150.38,48652,0
2025-10-20T11:25:00+05:30,151.15,151.19,150.9,150.9,13720,0
2025-10-20T11:20:00+05:30,151.2,151.5,151.0,151.07,31820,0
2025-10-20T11:15:00+05:30,151.15,151.65,151.09,151.2,33000,0
2025-10-20T11:10:00+05:30,152.0,152.02,151.0,151.14,37413,0
2025-10-20T11:05:00+05:30,151.8,152.29,151.56,152.0,76826,0
2025-10-20T11:00:00+05:30,152.8,152.8,151.7,151.8,60922,0
2025-10-20T10:55:00+05:30,152.96,153.1,152.8,152.8,49082,0
2025-10-20T10:50:00+05:30,153.71,153.75,152.84,152.86,36095,0
2025-10-20T10:45:00+05:30,153.91,154.04,153.6,153.75,15607,0
2025-10-20T10:40:00+05:30,153.83,154.0,153.83,153.84,12550,0
2025-10-20T10:35:00+05:30,153.5,153.98,153.49,153.83,24608,0
2025-10-20T10:30:00+05:30,153.84,153.84,153.44,153.5,32206,0
2025-10-20T10:25:00+05:30,153.48,153.82,153.48,153.82,8177,0
2025-10-20T10:20:00+05:30,153.63,153.79,153.37,153.49,15164,0
2025-10-20T10:15:00+05:30,153.36,154.0,153.11,153.7,29044,0
2025-10-20T10:10:00+05:30,153.21,153.39,153.09,153.36,27419,0
2025-10-20T10:05:00+05:30,153.64,153.67,152.46,153.2,66075,0
2025-10-20T10:00:00+05:30,153.25,153.67,152.76,153.66,57931,0
2025-10-20T09:55:00+05:30,153.6,153.63,153.1,153.2,27062,0
2025-10-20T09:50:00+05:30,153.57,153.9,153.04,153.6,32796,0
2025-10-20T09:45:00+05:30,153.94,154.0,153.25,153.57,38507,0
2025-10-20T09:40:00+05:30,154.0,154.47,153.53,153.95,67113,0
2025-10-20T09:35:00+05:30,154.63,155.0,154.0,154.1,57674,0
2025-10-20T09:30:00+05:30,154.48,154.96,154.1,154.64,59238,0
2025-10-20T09:25:00+05:30,154.19,154.64,153.52,154.38,75529,0
2025-10-20T09:20:00+05:30,156.43,156.96,154.16,154.19,128159,0
2025-10-20T09:15:00+05:30,169.48,169.48,146.27,156.6,543507,0
2025-10-17T15:25:00+05:30,164.42,164.5,163.8,164.46,74618,0
2025-10-17T15:20:00+05:30,164.4,164.5,164.0,164.42,49502,0
2025-10-17T15:15:00+05:30,164.93,165.0,164.49,164.5,62619,0
2025-10-17T15:10:00+05:30,164.99,165.13,164.78,164.93,15063,0
2025-10-17T15:05:00+05:30,165.14,165.15,164.59,164.99,12003,0
2025-10-17T15:00:00+05:30,165.0,165.26,164.52,165.26,17818,0
2025-10-17T14:55:00+05:30,164.86,165.0,164.71,165.0,3634,0
2025-10-17T14:50:00+05:30,164.88,164.88,164.63,164.72,7157,0
2025-10-17T14:45:00+05:30,165.26,165.26,164.52,164.97,27520,0
2025-10-17T14:40:00+05:30,164.8,165.42,164.8,165.26,15514,0
2025-10-17T14:35:00+05:30,164.28,165.5,164.22,164.74,34437,0
2025-10-17T14:30:00+05:30,164.32,164.32,164.1,164.28,7930,0
2025-10-17T14:25:00+05:30,164.0,164.39,163.99,164.32,12088,0
2025-10-17T14:20:00+05:30,163.91,164.53,163.82,164.0,35269,0
2025-10-17T14:15:00+05:30,164.0,164.0,163.66,163.91,42286,0
2025-10-17T14:10:00+05:30,163.8,164.0,163.8,164.0,12343,0
2025-10-17T14:05:00+05:30,163.95,163.97,163.62,163.8,10925,0
2025-10-17T14:00:00+05:30,164.01,164.07,163.71,163.85,14311,0
2025-10-17T13:55:00+05:30,164.27,164.5,163.87,164.0,25590,0
2025-10-17T13:50:00+05:30,164.16,164.5,164.04,164.27,4619,0
2025-10-17T13:45:00+05:30,163.93,164.3,163.75,164.16,27666,0
2025-10-17T13:40:00+05:30,163.68,164.08,163.57,163.91,20313,0
2025-10-17T13:35:00+05:30,164.32,164.32,163.7,163.87,25783,0
2025-10-17T13:30:00+05:30,164.31,164.32,163.98,164.31,10083,0
2025-10-17T13:25:00+05:30,164.37,164.5,163.75,164.18,35509,0
2025-10-17T13:20:00+05:30,164.48,164.77,163.98,164.37,20416,0
2025-10-17T13:15:00+05:30,164.87,164.88,164.22,164.47,10845,0
2025-10-17T13:10:00+05:30,164.71,164.98,164.53,164.73,14762,0
2025-10-17T13:05:00+05:30,164.78,164.84,164.52,164.63,7104,0
2025-10-17T13:00:00+05:30,164.57,165.0,164.32,164.74,27884,0
2025-10-17T12:55:00+05:30,164.37,164.79,164.04,164.5,32264,0
2025-10-17T12:50:00+05:30,164.89,164.9,163.17,164.35,146117,0
2025-10-17T12:45:00+05:30,165.41,165.43,164.9,164.91,7652,0
2025-10-17T12:40:00+05:30,165.2,165.6,164.79,165.38,64465,0
2025-10-17T12:35:00+05:30,165.52,165.64,165.04,165.35,47457,0
2025-10-17T12:30:00+05:30,165.72,165.75,165.42,165.51,11242,0
2025-10-17T12:25:00+05:30,165.79,165.91,165.51,165.59,28337,0
2025-10-17T12:20:00+05:30,165.89,165.92,165.64,165.81,4482,0
2025-10-17T12:15:00+05:30,165.73,165.92,165.68,165.89,1968,0
2025-10-17T12:10:00+05:30,165.77,166.0,165.69,165.78,21551,0
2025-10-17T12:05:00+05:30,165.99,165.99,165.61,165.8,2549,0
2025-10-17T12:00:00+05:30,166.21,166.23,165.84,165.99,6992,0
2025-10-17T11:55:00+05:30,166.13,166.29,165.92,166.02,6360,0
2025-10-17T11:50:00+05:30,165.84,166.31,165.6,166.29,18073,0
2025-10-17T11:45:00+05:30,165.98,166.1,165.69,165.89,23642,0
