timestamp,open,high,low,close,volume,oi
2025-09-15T15:25:00+05:30,218.99,219.42,218.5,218.95,29411,0
2025-09-15T15:20:00+05:30,219.3,219.84,217.1,218.99,101006,0
2025-09-15T15:15:00+05:30,219.71,220.54,219.21,219.44,38136,0
2025-09-15T15:10:00+05:30,220.57,220.68,219.66,219.67,12589,0
2025-09-15T15:05:00+05:30,220.54,220.69,219.84,220.59,33948,0
2025-09-15T15:00:00+05:30,219.76,221.19,219.39,220.62,31969,0
2025-09-15T14:55:00+05:30,218.84,219.79,218.65,219.79,14893,0
2025-09-15T14:50:00+05:30,219.15,219.31,218.84,218.84,2994,0
2025-09-15T14:45:00+05:30,219.21,219.43,219.0,219.06,6835,0
2025-09-15T14:40:00+05:30,219.05,219.5,218.88,219.48,7187,0
2025-09-15T14:35:00+05:30,218.99,219.43,218.79,219.02,4829,0
2025-09-15T14:30:00+05:30,218.77,218.97,218.56,218.97,2814,0
2025-09-15T14:25:00+05:30,218.83,218.84,218.56,218.56,12599,0
2025-09-15T14:20:00+05:30,218.56,218.84,218.56,218.8,3166,0
2025-09-15T14:15:00+05:30,218.84,218.9,218.29,218.82,12572,0
2025-09-15T14:10:00+05:30,219.01,219.06,218.8,218.99,3295,0
2025-09-15T14:05:00+05:30,219.03,219.21,219.0,219.01,2425,0
2025-09-15T14:00:00+05:30,219.03,219.3,218.94,219.03,3149,0
2025-09-15T13:55:00+05:30,219.22,219.31,218.6,219.03,4420,0
2025-09-15T13:50:00+05:30,218.89,219.22,218.68,219.22,3878,0
2025-09-15T13:45:00+05:30,219.71,219.81,218.5,218.89,21558,0
2025-09-15T13:40:00+05:30,219.81,219.98,219.35,219.4,6807,0
2025-09-15T13:35:00+05:30,219.47,220.0,219.43,219.71,7797,0
2025-09-15T13:30:00+05:30,219.42,219.77,219.42,219.47,1755,0
2025-09-15T13:25:00+05:30,219.83,219.83,219.35,219.42,2484,0
2025-09-15T13:20:00+05:30,219.7,220.0,219.45,219.61,4033,0
2025-09-15T13:15:00+05:30,219.66,219.7,219.45,219.7,4692,0
2025-09-15T13:10:00+05:30,219.92,219.92,219.41,219.66,2301,0
2025-09-15T13:05:00+05:30,219.66,219.97,219.5,219.93,4898,0
2025-09-15T13:00:00+05:30,219.63,219.75,219.5,219.66,8260,0
2025-09-15T12:55:00+05:30,219.49,219.99,219.28,219.63,3498,0
2025-09-15T12:50:00+05:30,219.64,219.99,219.47,219.49,5576,0
2025-09-15T12:45:00+05:30,220.36,220.36,219.0,219.73,35123,0
2025-09-15T12:40:00+05:30,220.28,220.44,220.16,220.37,1750,0
2025-09-15T12:35:00+05:30,220.61,220.61,220.16,220.49,3563,0
2025-09-15T12:30:00+05:30,220.66,220.7,220.41,220.42,2628,0
2025-09-15T12:25:00+05:30,220.56,220.7,220.4,220.41,2795,0
2025-09-15T12:20:00+05:30,220.58,220.68,220.35,220.56,1916,0
2025-09-15T12:15:00+05:30,220.16,220.64,220.16,220.34,4154,0
2025-09-15T12:10:00+05:30,220.4,220.52,220.05,220.05,8833,0
2025-09-15T12:05:00+05:30,220.7,220.72,220.35,220.4,5225,0
2025-09-15T12:00:00+05:30,220.76,221.32,220.5,220.7,10238,0
2025-09-15T11:55:00+05:30,220.41,220.99,220.4,220.96,4286,0
2025-09-15T11:50:00+05:30,220.53,220.59,220.3,220.36,1749,0
2025-09-15T11:45:00+05:30,220.52,220.99,220.3,220.3,14412,0
2025-09-15T11:40:00+05:30,220.65,220.77,220.51,220.61,3879,0
2025-09-15T11:35:00+05:30,220.6,220.9,220.51,220.87,2137,0
2025-09-15T11:30:00+05:30,220.54,220.88,220.52,220.61,1425,0
2025-09-15T11:25:00+05:30,220.22,220.94,220.0,220.51,8790,0
2025-09-15T11:20:00+05:30,220.27,220.61,220.03,220.22,2454,0
2025-09-15T11:15:00+05:30,220.94,220.94,220.02,220.27,10295,0
2025-09-15T11:10:00+05:30,220.1,220.86,219.9,220.66,10108,0
2025-09-15T11:05:00+05:30,220.84,220.96,220.05,220.05,17426,0
2025-09-15T11:00:00+05:30,221.15,221.48,220.81,221.02,8186,0
2025-09-15T10:55:00+05:30,220.8,221.15,220.68,221.15,6517,0
2025-09-15T10:50:00+05:30,220.6,220.9,220.6,220.8,1977,0
2025-09-15T10:45:00+05:30,220.8,220.96,220.51,220.79,6501,0
2025-09-15T10:40:00+05:30,220.93,221.05,220.6,220.92,6864,0
2025-09-15T10:35:00+05:30,220.88,221.1,220.67,220.95,4241,0
2025-09-15T10:30:00+05:30,221.09,221.1,220.61,220.9,5450,0
2025-09-15T10:25:00+05:30,220.84,221.15,220.51,221.09,9316,0
2025-09-15T10:20:00+05:30,220.51,221.29,220.51,221.0,8881,0
2025-09-15T10:15:00+05:30,220.8,220.83,220.51,220.51,5328,0
2025-09-15T10:10:00+05:30,220.9,221.11,220.52,220.94,6101,0
2025-09-15T10:05:00+05:30,219.95,221.51,219.9,221.13,35414,0
2025-09-15T10:00:00+05:30,220.06,220.06,219.0,219.91,39286,0
2025-09-15T09:55:00+05:30,221.12,221.39,220.02,220.3,31341,0
2025-09-15T09:50:00+05:30,221.0,221.6,221.0,221.12,12847,0
2025-09-15T09:45:00+05:30,220.5,221.59,220.04,220.95,20126,0
2025-09-15T09:40:00+05:30,220.54,221.4,220.48,220.53,12019,0
2025-09-15T09:35:00+05:30,219.77,221.8,219.55,220.69,39592,0
2025-09-15T09:30:00+05:30,220.63,220.72,219.0,219.76,52553,0
2025-09-15T09:25:00+05:30,221.25,222.8,220.12,220.72,68005,0
2025-09-15T09:20:00+05:30,221.45,221.79,219.51,221.23,121496,0
2025-09-15T09:15:00+05:30,231.99,232.0,220.88,221.79,221404,0
2025-09-12T15:25:00+05:30,225.7,234.3,225.21,230.9,194234,0
2025-09-12T15:20:00+05:30,226.55,226.62,224.26,225.7,124150,0
2025-09-12T15:15:00+05:30,227.26,227.41,226.2,226.23,66456,0
2025-09-12T15:10:00+05:30,228.02,228.02,226.26,227.26,55828,0
2025-09-12T15:05:00+05:30,227.5,228.4,227.33,228.02,65173,0
2025-09-12T15:00:00+05:30,224.52,227.62,224.52,227.36,54266,0
2025-09-12T14:55:00+05:30,224.3,225.65,224.03,224.72,28554,0
2025-09-12T14:50:00+05:30,223.43,225.72,223.31,224.38,28440,0
2025-09-12T14:45:00+05:30,222.85,223.8,222.5,223.3,22892,0
2025-09-12T14:40:00+05:30,223.71,224.2,222.84,222.84,26784,0
2025-09-12T14:35:00+05:30,225.11,225.11,223.0,223.95,88725,0
2025-09-12T14:30:00+05:30,225.1,225.83,225.01,225.05,15006,0
2025-09-12T14:25:00+05:30,226.1,226.18,225.1,225.2,19757,0
2025-09-12T14:20:00+05:30,226.5,226.5,226.1,226.13,1061,0
2025-09-12T14:15:00+05:30,226.41,226.5,226.1,226.34,5107,0
2025-09-12T14:10:00+05:30,226.54,226.81,226.4,226.5,7097,0
2025-09-12T14:05:00+05:30,226.4,226.82,225.88,226.55,7594,0
2025-09-12T14:00:00+05:30,226.65,226.88,226.1,226.38,8663,0
2025-09-12T13:55:00+05:30,226.68,227.05,226.5,226.64,9419,0
2025-09-12T13:50:00+05:30,226.77,226.84,226.36,226.84,3713,0
2025-09-12T13:45:00+05:30,226.84,227.08,226.22,226.74,8475,0
2025-09-12T13:40:00+05:30,226.95,227.09,226.21,227.07,10306,0
2025-09-12T13:35:00+05:30,226.2,227.49,226.2,227.18,9853,0
2025-09-12T13:30:00+05:30,226.35,226.6,226.0,226.2,5361,0
2025-09-12T13:25:00+05:30,226.44,226.93,226.14,226.35,14482,0
2025-09-12T13:20:00+05:30,226.48,226.72,226.2,226.44,4924,0
2025-09-12T13:15:00+05:30,226.61,226.95,226.21,226.47,9261,0
2025-09-12T13:10:00+05:30,226.39,226.96,225.18,226.45,23748,0
2025-09-12T13:05:00+05:30,226.61,226.9,226.2,226.41,17028,0
2025-09-12T13:00:00+05:30,226.84,227.71,226.5,226.6,35295,0
2025-09-12T12:55:00+05:30,228.44,228.86,226.2,226.74,40451,0
2025-09-12T12:50:00+05:30,228.65,229.25,228.24,228.62,18434,0
2025-09-12T12:45:00+05:30,228.65,229.25,228.44,228.65,6676,0
2025-09-12T12:40:00+05:30,228.7,229.23,228.45,228.63,10624,0
2025-09-12T12:35:00+05:30,229.22,229.24,228.36,228.43,8500,0
2025-09-12T12:30:00+05:30,229.02,229.32,228.19,229.25,13803,0
2025-09-12T12:25:00+05:30,229.17,229.31,228.52,229.15,13192,0
2025-09-12T12:20:00+05:30,228.67,231.0,228.66,229.5,50429,0
2025-09-12T12:15:00+05:30,228.76,229.2,228.69,228.8,7289,0
2025-09-12T12:10:00+05:30,229.0,229.0,228.15,228.75,24947,0
2025-09-12T12:05:00+05:30,231.01,231.35,228.58,229.09,50459,0
2025-09-12T12:00:00+05:30,229.0,231.4,229.0,231.05,123471,0
2025-09-12T11:55:00+05:30,227.94,229.45,227.78,228.98,42057,0
2025-09-12T11:50:00+05:30,228.0,228.35,227.65,227.95,11221,0
2025-09-12T11:45:00+05:30,227.97,228.11,227.35,228.0,21378,0
2025-09-12T11:40:00+05:30,227.39,228.5,227.39,227.96,35522,0
2025-09-12T11:35:00+05:30,226.31,227.9,226.26,227.06,39237,0
2025-09-12T11:30:00+05:30,226.12,226.48,225.71,226.34,10400,0
2025-09-12T11:25:00+05:30,226.7,227.8,225.83,226.39,39034,0
2025-09-12T11:20:00+05:30,226.51,227.0,226.1,226.48,33025,0
2025-09-12T11:15:00+05:30,227.39,227.5,226.51,226.51,12414,0
2025-09-12T11:10:00+05:30,226.86,227.4,226.34,227.4,13944,0
2025-09-12T11:05:00+05:30,226.42,227.99,226.02,226.9,54507,0
2025-09-12T11:00:00+05:30,226.01,226.42,225.66,226.29,25630,0
2025-09-12T10:55:00+05:30,227.2,227.45,226.01,226.01,25186,0
