timestamp,open,high,low,close,volume,oi
2026-01-16T15:25:00+05:30,271.97,272.0,271.8,272.0,38469,0
2026-01-16T15:20:00+05:30,271.62,272.0,271.0,271.96,112810,0
2026-01-16T15:15:00+05:30,271.8,272.0,271.61,271.62,21575,0
2026-01-16T15:10:00+05:30,272.01,272.06,271.71,271.8,11208,0
2026-01-16T15:05:00+05:30,272.03,272.39,272.0,272.01,14817,0
2026-01-16T15:00:00+05:30,272.0,272.3,271.8,272.03,10697,0
2026-01-16T14:55:00+05:30,271.67,272.2,271.28,271.96,18503,0
2026-01-16T14:50:00+05:30,271.65,271.83,271.04,271.65,4792,0
2026-01-16T14:45:00+05:30,271.53,271.9,271.01,271.4,10666,0
2026-01-16T14:40:00+05:30,271.76,272.29,271.09,271.6,56856,0
2026-01-16T14:35:00+05:30,270.63,271.99,270.63,271.99,20069,0
2026-01-16T14:30:00+05:30,270.34,270.7,270.28,270.63,3223,0
2026-01-16T14:25:00+05:30,270.5,270.62,270.3,270.39,13662,0
2026-01-16T14:20:00+05:30,270.49,270.5,270.01,270.5,4220,0
2026-01-16T14:15:00+05:30,270.2,270.5,269.93,270.5,5262,0
2026-01-16T14:10:00+05:30,270.14,270.5,270.0,270.13,16748,0
2026-01-16T14:05:00+05:30,270.2,270.22,269.75,270.1,2118,0
2026-01-16T14:00:00+05:30,270.35,270.41,270.01,270.26,7494,0
2026-01-16T13:55:00+05:30,269.85,270.48,269.85,270.26,46892,0
2026-01-16T13:50:00+05:30,269.59,269.8,269.44,269.8,9869,0
2026-01-16T13:45:00+05:30,269.55,269.65,269.55,269.59,2389,0
2026-01-16T13:40:00+05:30,269.63,269.65,269.59,269.6,3726,0
2026-01-16T13:35:00+05:30,269.65,269.65,269.44,269.63,17730,0
2026-01-16T13:30:00+05:30,269.64,269.65,269.5,269.65,369,0
2026-01-16T13:25:00+05:30,269.56,269.65,269.56,269.65,429,0
2026-01-16T13:20:00+05:30,269.65,269.65,269.53,269.56,713,0
2026-01-16T13:15:00+05:30,269.69,269.69,269.58,269.65,1578,0
2026-01-16T13:10:00+05:30,269.51,269.69,269.44,269.69,2010,0
2026-01-16T13:05:00+05:30,269.49,269.65,269.4,269.65,1517,0
2026-01-16T13:00:00+05:30,269.57,269.6,269.3,269.49,895,0
2026-01-16T12:55:00+05:30,269.51,269.72,269.4,269.4,470,0
2026-01-16T12:50:00+05:30,269.47,269.61,269.12,269.43,1627,0
2026-01-16T12:45:00+05:30,269.68,269.78,269.39,269.5,3853,0
2026-01-16T12:40:00+05:30,269.34,269.89,269.26,269.56,7105,0
2026-01-16T12:35:00+05:30,269.44,269.68,269.26,269.34,6599,0
2026-01-16T12:30:00+05:30,268.83,269.44,268.74,269.44,7814,0
2026-01-16T12:25:00+05:30,268.32,268.9,268.3,268.7,3073,0
2026-01-16T12:20:00+05:30,267.75,268.54,267.68,268.52,8010,0
2026-01-16T12:15:00+05:30,268.19,268.74,267.6,267.68,6892,0
2026-01-16T12:10:00+05:30,269.26,269.43,268.4,268.4,3740,0
2026-01-16T12:05:00+05:30,269.41,269.69,268.99,269.31,8825,0
2026-01-16T12:00:00+05:30,269.55,269.75,269.17,269.44,3284,0
2026-01-16T11:55:00+05:30,269.57,270.04,269.55,269.55,6882,0
2026-01-16T11:50:00+05:30,269.44,269.58,269.04,269.46,11223,0
2026-01-16T11:45:00+05:30,269.3,269.7,268.9,269.57,10313,0
2026-01-16T11:40:00+05:30,269.99,270.07,269.11,269.5,10549,0
2026-01-16T11:35:00+05:30,269.54,270.24,269.42,270.05,11191,0
2026-01-16T11:30:00+05:30,270.55,270.59,269.56,269.68,13794,0
2026-01-16T11:25:00+05:30,270.29,270.88,269.96,270.37,15591,0
2026-01-16T11:20:00+05:30,270.07,270.74,270.07,270.4,23558,0
2026-01-16T11:15:00+05:30,269.09,270.07,268.9,270.07,34034,0
2026-01-16T11:10:00+05:30,268.61,269.1,268.47,269.09,15269,0
2026-01-16T11:05:00+05:30,268.47,268.86,268.08,268.58,4007,0
2026-01-16T11:00:00+05:30,268.45,268.64,267.74,268.34,23999,0
2026-01-16T10:55:00+05:30,268.13,268.5,268.0,268.48,24826,0
2026-01-16T10:50:00+05:30,267.68,268.25,267.66,268.11,10715,0
2026-01-16T10:45:00+05:30,267.7,267.94,267.45,267.65,44677,0
2026-01-16T10:40:00+05:30,267.86,267.95,267.5,267.71,31452,0
2026-01-16T10:35:00+05:30,267.94,267.99,267.55,267.88,3676,0
2026-01-16T10:30:00+05:30,268.25,268.25,267.84,267.94,3676,0
2026-01-16T10:25:00+05:30,268.25,268.25,268.09,268.17,7927,0
2026-01-16T10:20:00+05:30,268.37,268.48,268.0,268.22,14257,0
2026-01-16T10:15:00+05:30,268.15,268.43,268.03,268.43,6737,0
2026-01-16T10:10:00+05:30,268.03,268.2,267.93,268.17,7822,0
2026-01-16T10:05:00+05:30,267.77,268.03,267.68,268.03,7548,0
2026-01-16T10:00:00+05:30,268.26,268.26,267.57,267.77,17151,0
2026-01-16T09:55:00+05:30,268.0,268.34,267.68,268.26,11074,0
2026-01-16T09:50:00+05:30,267.94,268.67,267.5,268.0,99556,0
2026-01-16T09:45:00+05:30,267.12,268.0,267.1,267.72,17599,0
2026-01-16T09:40:00+05:30,267.29,267.44,266.8,266.92,15427,0
2026-01-16T09:35:00+05:30,266.3,267.3,266.29,267.3,40991,0
2026-01-16T09:30:00+05:30,266.06,266.7,266.0,266.3,67079,0
2026-01-16T09:25:00+05:30,267.0,267.19,265.99,265.99,64284,0
2026-01-16T09:20:00+05:30,264.37,267.0,264.37,266.97,25777,0
2026-01-16T09:15:00+05:30,268.96,268.96,263.51,264.15,128371,0
2026-01-14T15:25:00+05:30,265.35,266.0,265.25,265.93,62535,0
2026-01-14T15:20:00+05:30,265.26,265.47,265.0,265.35,96536,0
2026-01-14T15:15:00+05:30,264.21,265.27,264.05,265.05,21117,0
2026-01-14T15:10:00+05:30,264.23,264.41,264.2,264.35,13436,0
2026-01-14T15:05:00+05:30,264.24,264.4,263.95,264.22,161499,0
2026-01-14T15:00:00+05:30,264.0,264.39,263.95,264.35,102523,0
2026-01-14T14:55:00+05:30,264.03,264.16,263.9,264.0,146010,0
2026-01-14T14:50:00+05:30,264.16,264.33,264.0,264.11,12964,0
2026-01-14T14:45:00+05:30,264.0,264.23,263.83,264.19,29306,0
2026-01-14T14:40:00+05:30,263.71,264.03,263.6,264.0,117712,0
2026-01-14T14:35:00+05:30,263.6,263.95,263.6,263.84,17240,0
2026-01-14T14:30:00+05:30,263.65,263.65,263.46,263.6,4979,0
2026-01-14T14:25:00+05:30,263.51,263.65,263.48,263.65,4444,0
2026-01-14T14:20:00+05:30,263.7,263.7,263.5,263.63,10100,0
2026-01-14T14:15:00+05:30,263.9,263.92,263.64,263.7,2932,0
2026-01-14T14:10:00+05:30,263.76,264.2,263.76,263.99,41135,0
2026-01-14T14:05:00+05:30,263.87,264.15,263.61,263.94,30139,0
2026-01-14T14:00:00+05:30,263.56,264.05,263.28,263.93,5408,0
2026-01-14T13:55:00+05:30,263.99,264.08,263.1,263.58,29615,0
2026-01-14T13:50:00+05:30,263.95,264.11,263.77,263.77,3123,0
2026-01-14T13:45:00+05:30,264.04,264.11,263.5,263.9,18065,0
2026-01-14T13:40:00+05:30,263.71,264.12,263.66,264.03,6377,0
2026-01-14T13:35:00+05:30,264.12,264.36,263.61,263.79,4832,0
2026-01-14T13:30:00+05:30,263.94,264.38,263.77,264.14,3225,0
2026-01-14T13:25:00+05:30,264.2,264.2,263.9,263.9,2232,0
2026-01-14T13:20:00+05:30,264.31,264.43,264.01,264.17,2876,0
2026-01-14T13:15:00+05:30,264.04,264.23,263.8,264.22,2289,0
2026-01-14T13:10:00+05:30,263.96,264.23,263.84,263.95,6856,0
2026-01-14T13:05:00+05:30,263.84,263.98,263.83,263.87,13744,0
2026-01-14T13:00:00+05:30,263.8,263.85,263.62,263.84,2598,0
2026-01-14T12:55:00+05:30,263.6,263.79,263.55,263.79,1882,0
2026-01-14T12:50:00+05:30,263.76,263.79,263.58,263.6,6413,0
2026-01-14T12:45:00+05:30,263.74,263.78,263.0,263.6,20299,0
2026-01-14T12:40:00+05:30,263.45,263.81,263.45,263.55,8998,0
2026-01-14T12:35:00+05:30,263.71,263.76,263.39,263.45,2140,0
2026-01-14T12:30:00+05:30,263.84,263.84,263.11,263.53,5852,0
2026-01-14T12:25:00+05:30,263.0,263.86,263.0,263.84,4255,0
2026-01-14T12:20:00+05:30,263.24,263.44,262.7,263.0,4853,0
2026-01-14T12:15:00+05:30,263.27,263.8,262.93,263.3,4800,0
2026-01-14T12:10:00+05:30,263.11,263.28,262.59,263.13,7862,0
2026-01-14T12:05:00+05:30,263.08,263.44,262.89,263.2,11096,0
2026-01-14T12:00:00+05:30,263.9,264.04,262.79,263.08,15773,0
2026-01-14T11:55:00+05:30,264.19,264.2,263.9,264.06,7086,0
2026-01-14T11:50:00+05:30,264.49,264.49,264.0,264.11,19785,0
2026-01-14T11:45:00+05:30,264.2,264.49,264.15,264.49,5951,0
2026-01-14T11:40:00+05:30,263.25,264.35,263.19,264.22,48796,0
2026-01-14T11:35:00+05:30,263.3,263.42,263.01,263.25,21121,0
2026-01-14T11:30:00+05:30,262.07,263.3,262.0,263.25,19526,0
2026-01-14T11:25:00+05:30,264.25,264.25,262.0,262.0,119190,0
2026-01-14T11:20:00+05:30,264.3,264.47,264.23,264.26,4893,0
2026-01-14T11:15:00+05:30,264.29,264.35,263.89,264.35,31008,0
2026-01-14T11:10:00+05:30,264.1,264.5,263.91,264.31,39822,0
2026-01-14T11:05:00+05:30,264.45,264.45,264.01,264.1,10397,0
2026-01-14T11:00:00+05:30,264.09,264.5,263.73,264.46,127164,0
2026-01-14T10:55:00+05:30,263.75,264.1,263.59,264.05,31803,0
2026-01-14T10:50:00+05:30,263.66,263.75,263.41,263.75,34043,0
2026-01-14T10:45:00+05:30,263.74,263.79,263.4,263.63,149638,0
